serialNumber,date,temperature,temperature-norm,temperature-mir,temperature-mir-norm
ZJV0WEHM,2018-08-01,37.5,0.75,-37.5,-0.75
ZJV0WEHM,2018-09-26,38.0,0.8,-38.0,-0.8
ZJV0WEHM,2019-03-06,36.5,0.65,-36.5,-0.65
ZJV0WEHM,2019-04-03,35.25,0.525,-35.25,-0.525
ZJV0WEHM,2019-05-01,35.2,0.5200000000000002,-35.2,-0.5200000000000002
ZJV0WEHM,2019-06-05,38.0,0.8,-38.0,-0.8
ZJV0WEHM,2019-08-07,39.5,0.95,-39.5,-0.95
ZJV0WEHM,2019-09-04,40.0,1.0,-40.0,-1.0
ZJV0WEHM,2019-12-04,34.25,0.425,-34.25,-0.425
ZJV0WEHM,2020-01-01,32.8,0.2799999999999997,-32.8,-0.2799999999999997
ZJV0WEHM,2020-02-05,34.25,0.425,-34.25,-0.425
ZJV0WEHM,2020-03-04,34.0,0.4,-34.0,-0.4
ZJV0WEHM,2020-04-01,34.4,0.43999999999999984,-34.4,-0.43999999999999984
ZJV0WEHM,2020-05-06,35.0,0.5,-35.0,-0.5
ZJV0WEHM,2020-06-03,35.5,0.55,-35.5,-0.55
ZJV0WEHM,2020-08-05,30.0,0.0,-30.0,-0.0
ZJV0WEHM,2020-09-02,31.33333333333333,0.13333333333333286,-31.33333333333333,-0.13333333333333286
PL2331LAH3ZZJJ,2016-04-13,26.66666666666667,0.7291666666666675,-26.66666666666667,-0.7291666666666675
PL2331LAH3ZZJJ,2016-05-04,26.5,0.7031250000000001,-26.5,-0.7031250000000001
PL2331LAH3ZZJJ,2016-06-01,26.0,0.6250000000000001,-26.0,-0.6250000000000001
PL2331LAH3ZZJJ,2016-08-03,24.0,0.31250000000000006,-24.0,-0.31250000000000006
PL2331LAH3ZZJJ,2016-09-07,22.0,0.0,-22.0,-0.0
PL2331LAH3ZZJJ,2016-12-07,26.5,0.7031250000000001,-26.5,-0.7031250000000001
PL2331LAH3ZZJJ,2017-01-04,26.25,0.6640625000000001,-26.25,-0.6640625000000001
PL2331LAH3ZZJJ,2017-02-01,25.5,0.5468750000000001,-25.5,-0.5468750000000001
PL2331LAH3ZZJJ,2017-03-01,25.4,0.5312499999999999,-25.4,-0.5312499999999999
PL2331LAH3ZZJJ,2017-04-05,25.5,0.5468750000000001,-25.5,-0.5468750000000001
PL2331LAH3ZZJJ,2017-05-03,26.8,0.7500000000000003,-26.8,-0.7500000000000003
PL2331LAH3ZZJJ,2017-06-07,27.0,0.7812500000000002,-27.0,-0.7812500000000002
PL2331LAH3ZZJJ,2017-08-02,23.0,0.15625000000000003,-23.0,-0.15625000000000003
PL2331LAH3ZZJJ,2017-09-06,23.75,0.27343750000000006,-23.75,-0.27343750000000006
PL2331LAH3ZZJJ,2017-12-06,24.25,0.35156250000000006,-24.25,-0.35156250000000006
PL2331LAH3ZZJJ,2018-01-03,26.4,0.6874999999999999,-26.4,-0.6874999999999999
PL2331LAH3ZZJJ,2018-02-07,26.5,0.7031250000000001,-26.5,-0.7031250000000001
PL2331LAH3ZZJJ,2018-03-07,27.0,0.7812500000000002,-27.0,-0.7812500000000002
